2026.01.10 16:17:24 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java
2026.01.10 16:17:24 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:17:24 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:17:24 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:17:36 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java
2026.01.10 16:17:36 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:17:36 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:17:36 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:17:36 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:17:43 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java
2026.01.10 16:17:43 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:17:43 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:17:53 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java
2026.01.10 16:17:53 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:17:53 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:17:54 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:17:54 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:17:58 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:18:04 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java
2026.01.10 16:18:04 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
